layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,16,512,1,128,1,86.561
attention,16,512,1,256,1,86.624
attention,16,512,1,512,1,88.544
attention,16,512,1,1024,1,146.914
attention,16,512,1,2048,1,268.353
attention,16,512,1,4096,1,510.177
attention,16,512,1,8192,1,992.61
attention,16,512,1,16384,1,1963.52
attention,16,512,2,16,1,86.624
attention,16,512,2,32,1,86.432
attention,16,512,2,64,1,86.08
attention,16,512,2,128,1,85.664
attention,16,512,2,256,1,86.016
attention,16,512,2,512,1,88.19
attention,16,512,2,1024,1,146.975
attention,16,512,2,2048,1,268.227
attention,16,512,2,4096,1,512.129
attention,16,512,2,8192,1,998.403
attention,16,512,2,16384,1,1957.41
attention,16,512,4,16,1,86.403
attention,16,512,4,32,1,86.688
attention,16,512,4,64,1,85.919
attention,16,512,4,128,1,86.849
attention,16,512,4,256,1,86.945
attention,16,512,4,512,1,88.577
attention,16,512,4,1024,1,148.032
attention,16,512,4,2048,1,269.536
attention,16,512,4,4096,1,510.625
attention,16,512,4,8192,1,996.994
attention,16,512,4,16384,1,1965.76
attention,16,512,8,16,1,103.968
attention,16,512,8,32,1,103.039
attention,16,512,8,64,1,110.625
attention,16,512,8,128,1,119.329
attention,16,512,8,256,1,134.879
attention,16,512,8,512,1,167.808
attention,16,512,8,1024,1,286.848
attention,16,512,8,2048,1,531.2
attention,16,512,8,4096,1,1014.85
attention,16,512,8,8192,1,1992.36
attention,16,512,8,16384,1,3956.78
attention,16,512,16,16,1,118.082
attention,16,512,16,32,1,118.848
attention,16,512,16,64,1,132.897
attention,16,512,16,128,1,149.631
attention,16,512,16,256,1,181.729
attention,16,512,16,512,1,243.008
attention,16,512,16,1024,1,424.768
attention,16,512,16,2048,1,790.081
attention,16,512,16,4096,1,1522.88
attention,16,512,16,8192,1,2998.41
attention,16,512,16,16384,1,5923.82
attention,16,512,32,16,1,145.983
attention,16,512,32,32,1,148.031
attention,16,512,32,64,1,176.385
attention,16,512,32,128,1,210.079
attention,16,512,32,256,1,272.61
attention,16,512,32,512,1,393.889
attention,16,512,32,1024,1,698.88
attention,16,512,32,2048,1,1306.82
attention,16,512,32,4096,1,2539.91
attention,16,512,32,8192,1,4993.48
attention,16,512,32,16384,1,9858.07
attention,16,512,64,16,1,203.201
attention,16,512,64,32,1,206.113
attention,16,512,64,64,1,264.929
attention,16,512,64,128,1,331.52
attention,16,512,64,256,1,457.567
attention,16,512,64,512,1,720.034
attention,16,512,64,1024,1,1300.77
attention,16,512,64,2048,1,2631.2
attention,16,512,64,4096,1,5293.16
attention,16,512,64,8192,1,10302.3
attention,16,512,64,16384,1,20506.5
attention,16,512,128,16,1,318.081
attention,16,512,128,32,1,320.929
attention,16,512,128,64,1,456.226
attention,16,512,128,128,1,623.744
attention,16,512,128,256,1,943.074
attention,16,512,128,512,1,1586.24
attention,16,512,128,1024,1,3121.32
attention,16,512,128,2048,1,9380.28
attention,16,512,128,4096,1,18346
attention,16,512,128,8192,1,46396.4
attention,16,512,128,16384,1,99010.7
attention,16,1024,0,0,1,148.769
attention,16,1024,1,16,1,147.84
attention,16,1024,1,32,1,147.105
attention,16,1024,1,64,1,147.263
attention,16,1024,1,128,1,146.816
attention,16,1024,1,256,1,147.296
attention,16,1024,1,512,1,147.2
attention,16,1024,1,1024,1,148.577
attention,16,1024,1,2048,1,266.849
attention,16,1024,1,4096,1,510.21
attention,16,1024,1,8192,1,992.384
attention,16,1024,1,16384,1,1966.08
attention,16,1024,2,16,1,146.624
attention,16,1024,2,32,1,146.944
attention,16,1024,2,64,1,146.561
attention,16,1024,2,128,1,146.88
attention,16,1024,2,256,1,146.783
attention,16,1024,2,512,1,147.361
attention,16,1024,2,1024,1,148.674
attention,16,1024,2,2048,1,267.875
attention,16,1024,2,4096,1,507.49
attention,16,1024,2,8192,1,992.322
attention,16,1024,2,16384,1,1959.78
attention,16,1024,4,16,1,147.426
attention,16,1024,4,32,1,147.614
attention,16,1024,4,64,1,146.496
attention,16,1024,4,128,1,146.624
attention,16,1024,4,256,1,147.713
attention,16,1024,4,512,1,148.736
attention,16,1024,4,1024,1,148.961
attention,16,1024,4,2048,1,270.08
attention,16,1024,4,4096,1,512.641
attention,16,1024,4,8192,1,999.649
attention,16,1024,4,16384,1,1973.32
attention,16,1024,8,16,1,163.872
attention,16,1024,8,32,1,164.895
attention,16,1024,8,64,1,170.08
attention,16,1024,8,128,1,179.617
attention,16,1024,8,256,1,196.098
attention,16,1024,8,512,1,227.999
attention,16,1024,8,1024,1,292.447
attention,16,1024,8,2048,1,531.041
attention,16,1024,8,4096,1,1019.36
attention,16,1024,8,8192,1,1995.62
attention,16,1024,8,16384,1,3951.82
attention,16,1024,16,16,1,178.273
attention,16,1024,16,32,1,178.847
attention,16,1024,16,64,1,193.249
attention,16,1024,16,128,1,210.401
attention,16,1024,16,256,1,241.504
attention,16,1024,16,512,1,303.936
attention,16,1024,16,1024,1,426.592
attention,16,1024,16,2048,1,791.807
attention,16,1024,16,4096,1,1524
attention,16,1024,16,8192,1,2990.95
