layer,pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
attention,16,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.1183,2
attention,16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.0919,2
attention,16,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.1375,2
attention,16,n<=16,sr<=70%,kvB<=16k,kp=0,0.0874,2
attention,16,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.046,2
attention,16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.0037,2
attention,16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.1,2
attention,16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.1924,2
attention,16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.1106,2
attention,16,n<=16,sr<=70%,kvB<=1k,kp=0,0.177,2
attention,16,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.141,2
attention,16,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.1483,2
attention,16,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.0716,2
attention,16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.1311,2
attention,16,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.0862,2
attention,16,n<=16,sr<=70%,kvB<=4k,kp=0,0.1097,2
attention,16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.0259,4
attention,16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.0341,4
attention,16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.0898,4
attention,16,n<=16,sr>70%,kvB<=16k,kp<=512,0.0077,4
attention,16,n<=16,sr>70%,kvB<=16k,kp<=8k,0.2211,4
attention,16,n<=16,sr>70%,kvB<=16k,kp=0,0.0053,4
attention,16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.2879,4
attention,16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.0257,4
attention,16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.298,4
attention,16,n<=16,sr>70%,kvB<=1k,kp<=512,0.4708,4
attention,16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.4701,4
attention,16,n<=16,sr>70%,kvB<=1k,kp=0,0.3428,4
attention,16,n<=16,sr>70%,kvB<=4k,kp<=1k,0.1661,4
attention,16,n<=16,sr>70%,kvB<=4k,kp<=2k,0.2406,4
attention,16,n<=16,sr>70%,kvB<=4k,kp<=4k,0.1046,4
attention,16,n<=16,sr>70%,kvB<=4k,kp<=512,0.1074,4
attention,16,n<=16,sr>70%,kvB<=4k,kp<=8k,-0.2409,4
attention,16,n<=16,sr>70%,kvB<=4k,kp=0,0.0347,4
attention,16,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.9639,2
attention,16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.9507,2
attention,16,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.8169,2
attention,16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.9749,2
attention,16,n<=2,sr<=70%,kvB<=16k,kp<=8k,-0.0005,2
attention,16,n<=2,sr<=70%,kvB<=16k,kp=0,0.9696,6
attention,16,n<=2,sr<=70%,kvB<=1k,kp<=1k,-0.7624,2
attention,16,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.748,2
attention,16,n<=2,sr<=70%,kvB<=1k,kp<=4k,-0.6995,2
attention,16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.1166,2
attention,16,n<=2,sr<=70%,kvB<=1k,kp<=8k,-0.8957,2
attention,16,n<=2,sr<=70%,kvB<=1k,kp=0,0.963,7
attention,16,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.7904,2
attention,16,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.0571,2
attention,16,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.9089,2
attention,16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.939,2
attention,16,n<=2,sr<=70%,kvB<=4k,kp<=8k,-0.8669,2
attention,16,n<=2,sr<=70%,kvB<=4k,kp=0,0.9435,6
attention,16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.0745,6
attention,16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.0678,6
attention,16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0444,6
attention,16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0786,6
attention,16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.0311,6
attention,16,n<=32,sr<=15%,kvB<=16k,kp=0,0.0785,10
