prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
128,832,1,True,52201.9948,52202.5,52290.75,52307.422000000006
128,864,1,True,53371.614666666675,53371.094,53512.6564,53549.844
128,896,1,True,53767.57813333333,53755.0,53834.5156,53865.0
128,928,1,True,55096.2396,55055.0,55171.4844,55423.75
128,960,1,True,56302.31253333334,56298.672000000006,56371.7188,56467.5
128,992,1,True,57540.93226666666,57502.422000000006,57637.25,57838.906
128,1024,1,True,58710.171866666664,58678.75,58781.5156,58991.172
128,1024,1,True,58685.84373333333,58687.422,58742.796800000004,58778.672
128,1088,1,True,63006.90626666667,62973.827999999994,63076.703199999996,63328.828
128,1152,1,True,64321.89066666667,64337.50000000001,64369.15639999999,64433.75
128,1216,1,True,67553.42706666667,67533.75,67619.82800000001,67793.672
128,1280,1,True,70121.82293333333,70086.25,70129.7032,70661.17199999999
128,1344,1,True,74698.08333333333,74676.25,74806.65639999999,74888.75
128,1408,1,True,75751.68226666666,75699.844,75996.09360000001,76123.82800000001
128,1472,1,True,78621.63546666666,78604.844,78721.04680000001,78782.5
128,1536,1,True,81379.9792,81362.5,81520.95319999999,81546.17199999999
128,1600,1,True,85365.29160000001,85375.156,85426.60919999999,85480.0
128,1664,1,True,87036.56773333334,87011.172,87132.4688,87362.344
128,1728,1,True,90600.48959999999,90577.656,90685.65639999999,91088.90599999999
128,1792,1,True,93297.64066666667,93336.172,93384.0312,93417.5
128,1856,1,True,97242.79693333335,97234.92199999999,97288.344,97427.34400000001
128,1920,1,True,98640.04173333333,98615.0,98701.14080000001,98786.25
128,0,1,True,19770.463600000003,19780.0,19818.422,19979.844
128,32,1,True,19574.244800000004,19601.25,19683.0,19766.328
128,64,1,True,21782.307333333338,21792.656000000003,21891.156000000003,22063.593999999997
128,96,1,True,23092.130266666667,23098.75,23241.4532,23251.172
128,128,1,True,19751.33853333333,19784.922000000002,19831.2812,19851.172
128,160,1,True,23363.104133333327,23346.406000000003,23494.5624,23554.844
128,192,1,True,24383.9792,24368.75,24475.5156,24503.594
128,224,1,True,24697.796933333335,24668.672000000002,24786.4532,24807.344
128,256,1,True,25773.562533333334,25755.0,25874.2032,25950.0
128,288,1,True,28005.057333333334,27984.922000000002,28080.422,28166.25
128,320,1,True,29873.984400000005,29799.922,30086.718800000002,30191.25
128,352,1,True,31189.84373333333,31177.422,31255.234399999998,31291.25
128,384,1,True,30548.218799999995,30540.078,30610.0,30776.406000000003
128,416,1,True,32957.04693333334,32970.0,33027.7968,33142.422000000006
128,448,1,True,34123.5,34087.5,34222.8436,34512.344
128,480,1,True,35235.265600000006,35222.5,35314.7188,35344.922
128,512,1,True,36321.4948,36296.172,36423.546800000004,36458.75
128,544,1,True,39288.97920000001,39281.405999999995,39366.672,39571.172
128,576,1,True,40660.0156,40631.094,40787.5,40837.5
128,608,1,True,42056.43746666666,42015.078,42178.203199999996,42187.5
128,640,1,True,42047.9948,42008.75,42264.0312,42495.0
128,672,1,True,44634.43746666666,44598.827999999994,44731.453199999996,44791.406
128,704,1,True,45849.484399999994,45820.0,45928.9064,46008.75
128,736,1,True,47176.296933333324,47162.5,47198.25,47631.172
128,768,1,True,48302.47920000001,48302.577999999994,48360.422000000006,48406.172
128,800,1,True,50752.2552,50748.75,50802.7656,50824.922
128,832,1,True,52143.38026666667,52124.922,52219.0,52297.422
128,864,1,True,53336.578133333336,53303.75,53397.7812,53645.078
128,896,1,True,53820.54173333334,53825.0,53897.0156,53923.672000000006
128,928,1,True,55121.890666666666,55088.906,55244.7188,55348.594
128,960,1,True,56288.63026666667,56236.172000000006,56503.9844,56688.75
128,992,1,True,57472.16160000001,57434.922,57523.2188,57857.5
128,1024,1,True,58633.2448,58612.5,58711.9064,58733.672
128,1024,1,True,58673.82293333334,58703.75,58764.453199999996,58877.656
128,1088,1,True,62998.724,62953.75,63099.812399999995,63512.344
128,1152,1,True,64340.2344,64243.75000000001,64573.2656,64696.327999999994
128,1216,1,True,67604.2344,67600.0,67728.9688,67768.67199999999
128,1280,1,True,70063.33333333333,70041.40599999999,70158.9376,70185.0
128,1344,1,True,74572.5208,74528.82800000001,74644.7032,74900.0
